id,brand,model,year,fuel,price
2415,BMW,R 100 S   (1976-1979),1976,2,3272
2415,BMW,R 100 S   (1976-1979),1977,2,6532
2415,BMW,R 100 RT   (1978-1996),1978,2,1724
2415,BMW,R 100 S   (1976-1979),1978,2,4599
2415,BMW,R 100 RT   (1978-1996),1979,2,5153
2415,BMW,R 100 S   (1976-1979),1979,2,9430
2415,BMW,R 100 RT   (1978-1996),1980,2,6880
2415,BMW,R 100 RT   (1978-1996),1981,2,9414
2415,BMW,R 100 RT   (1978-1996),1982,2,1723
2415,BMW,K 100   (1983-1994),1983,2,6679
2415,BMW,R 100 RT   (1978-1996),1983,2,2217
2415,BMW,F 650   (1984-1996),1984,2,8466
2415,BMW,K 100   (1983-1994),1984,2,8752
2415,BMW,K 100 RS   (1984-1994),1984,2,6067
2415,BMW,K 100 RS Style   (1984),1984,2,2115
2415,BMW,K 100 RT   (1984-1993),1984,2,9017
2415,BMW,K 75   (1984-1996),1984,2,5639
2415,BMW,R 100 RT   (1978-1996),1984,2,5031
2415,BMW,R 80 ST   (1984),1984,2,9151
2415,BMW,F 650   (1984-1996),1985,2,5817
2415,BMW,K 100   (1983-1994),1985,2,4459
2415,BMW,K 100 RS   (1984-1994),1985,2,4038
2415,BMW,K 100 RT   (1984-1993),1985,2,9698
2415,BMW,K 75   (1984-1996),1985,2,7652
2415,BMW,R 100 RT   (1978-1996),1985,2,7611
2415,BMW,F 650   (1984-1996),1986,2,5429
2415,BMW,K 100   (1983-1994),1986,2,7730
2415,BMW,K 100 LT   (1986-1994),1986,2,9685
2415,BMW,K 100 RS   (1984-1994),1986,2,8706
2415,BMW,K 100 RS Motorsport   (1986-1988),1986,2,7807
2415,BMW,K 100 RT   (1984-1993),1986,2,6451
2415,BMW,K 75   (1984-1996),1986,2,8484
2415,BMW,K 75 RT   (1986-1994),1986,2,1524
2415,BMW,K 75 S Special   (1986-1988),1986,2,5720
2415,BMW,K 750   (1986-1999),1986,2,8077
2415,BMW,R 100 RT   (1978-1996),1986,2,3391
2415,BMW,R 80 GS   (1986-1992),1986,2,8456
2415,BMW,F 650   (1984-1996),1987,2,2154
2415,BMW,K 100   (1983-1994),1987,2,4825
2415,BMW,K 100 LT   (1986-1994),1987,2,2516
2415,BMW,K 100 RS   (1984-1994),1987,2,2621
2415,BMW,K 100 RS Motorsport   (1986-1988),1987,2,6401
2415,BMW,K 100 RT   (1984-1993),1987,2,2967
2415,BMW,K 75   (1984-1996),1987,2,8091
2415,BMW,K 75 RT   (1986-1994),1987,2,8931
2415,BMW,K 75 S   (1987-1996),1987,2,4984
2415,BMW,K 75 S Special   (1986-1988),1987,2,10119
2415,BMW,K 750   (1986-1999),1987,2,9480
2415,BMW,R 100 RS   (1987-1995),1987,2,9467
2415,BMW,R 100 RT   (1978-1996),1987,2,5332
2415,BMW,R 80 GS   (1986-1992),1987,2,10119
2415,BMW,F 650   (1984-1996),1988,2,10715
2415,BMW,K 100   (1983-1994),1988,2,1910
2415,BMW,K 100 LT   (1986-1994),1988,2,8175
2415,BMW,K 100 RS   (1984-1994),1988,2,3385
2415,BMW,K 100 RS ABS   (1988-1993),1988,2,1942
2415,BMW,K 100 RS Motorsport   (1986-1988),1988,2,9523
2415,BMW,K 100 RT   (1984-1993),1988,2,2080
2415,BMW,K 75   (1984-1996),1988,2,10716
2415,BMW,K 75 C   (1988-1989),1988,2,10283
2415,BMW,K 75 Mad Max   (1988),1988,2,8832
2415,BMW,K 75 RT   (1986-1994),1988,2,3753
2415,BMW,K 75 S   (1987-1996),1988,2,5585
2415,BMW,K 75 S Special   (1986-1988),1988,2,8956
2415,BMW,K 750   (1986-1999),1988,2,10169
2415,BMW,R 100 GS   (1988-1993),1988,2,2057
2415,BMW,R 100 RS   (1987-1995),1988,2,4107
2415,BMW,R 100 RT   (1978-1996),1988,2,4087
2415,BMW,R 80 GS   (1986-1992),1988,2,2810
2415,BMW,F 650   (1984-1996),1989,2,7015
2415,BMW,K 1   (1989-1994),1989,2,6540
2415,BMW,K 100   (1983-1994),1989,2,8117
2415,BMW,K 100 LT   (1986-1994),1989,2,2457
2415,BMW,K 100 RS   (1984-1994),1989,2,7127
2415,BMW,K 100 RS ABS   (1988-1993),1989,2,9216
2415,BMW,K 100 RS Baviera   (1989),1989,2,5578
2415,BMW,K 100 RT   (1984-1993),1989,2,2170
2415,BMW,K 75   (1984-1996),1989,2,3374
2415,BMW,K 75 C   (1988-1989),1989,2,6777
2415,BMW,K 75 RT   (1986-1994),1989,2,8430
2415,BMW,K 75 S   (1987-1996),1989,2,1824
2415,BMW,K 750   (1986-1999),1989,2,5949
2415,BMW,R 100 GS   (1988-1993),1989,2,5095
2415,BMW,R 100 GS PARIS DAKAR   (1989-1995),1989,2,3995
2415,BMW,R 100 RS   (1987-1995),1989,2,7814
2415,BMW,R 100 RT   (1978-1996),1989,2,4515
2415,BMW,R 80 GS   (1986-1992),1989,2,6446
2415,BMW,F 650   (1984-1996),1990,2,8637
2415,BMW,K 1   (1989-1994),1990,2,3318
2415,BMW,K 100   (1983-1994),1990,2,5326
2415,BMW,K 100 LT   (1986-1994),1990,2,3182
2415,BMW,K 100 LT ABS   (1990-1992),1990,2,6361
2415,BMW,K 100 RS   (1984-1994),1990,2,7575
2415,BMW,K 100 RS ABS   (1988-1993),1990,2,9068
2415,BMW,K 100 RT   (1984-1993),1990,2,3146
2415,BMW,K 75   (1984-1996),1990,2,3421
2415,BMW,K 75 RT   (1986-1994),1990,2,7155
2415,BMW,K 75 S   (1987-1996),1990,2,2324
2415,BMW,K 750   (1986-1999),1990,2,7871
2415,BMW,R 100 GS   (1988-1993),1990,2,4881
2415,BMW,R 100 GS PARIS DAKAR   (1989-1995),1990,2,7267
2415,BMW,R 100 RS   (1987-1995),1990,2,10273
2415,BMW,R 100 RT   (1978-1996),1990,2,8162
2415,BMW,R 80 GS   (1986-1992),1990,2,3378
2415,BMW,F 650   (1984-1996),1991,2,7103
2415,BMW,K 1   (1989-1994),1991,2,8463
2415,BMW,K 100   (1983-1994),1991,2,3196
2415,BMW,K 100 Baviera   (1991),1991,2,8089
2415,BMW,K 100 LT   (1986-1994),1991,2,5816
2415,BMW,K 100 LT ABS   (1990-1992),1991,2,5215
2415,BMW,K 100 LT Limited Edition   (1991-1994),1991,2,5351
2415,BMW,K 100 RS   (1984-1994),1991,2,7629
2415,BMW,K 100 RS ABS   (1988-1993),1991,2,5786
2415,BMW,K 100 RT   (1984-1993),1991,2,3726
